"text,label"
"hi,GREETING"
"hello,GREETING"
"hey,GREETING"
"hey there,GREETING"
"hii,GREETING"
"helo,GREETING"
"are you there,GREETING"
"anyone there,GREETING"
"hello hello,GREETING"
"yo,GREETING"
"good morning,GREETING"
"good evening,GREETING"
"good afternoon,GREETING"
"hi bot,GREETING"
"hey bot,GREETING"
"hello friend,GREETING"
"hey buddy,GREETING"
"hi can you help,GREETING"
"excuse me,GREETING"
"listen,GREETING"
"ok,GREETING"
"okay,GREETING"
"hmm,GREETING"
"yes,GREETING"
"yeah,GREETING"
"alright,GREETING"
"start,GREETING"
"begin,GREETING"
"hey listen,GREETING"
"hello please,GREETING"
"add paneer,ADD_ITEM"
"add 1 paneer,ADD_ITEM"
"add two paneer,ADD_ITEM"
"add paneer please,ADD_ITEM"
"add paneer to cart,ADD_ITEM"
"add butter naan,ADD_ITEM"
"add 2 butter naan,ADD_ITEM"
"add one butter naan,ADD_ITEM"
"add dosa,ADD_ITEM"
"add 3 dosa,ADD_ITEM"
"add masala dosa,ADD_ITEM"
"add plain dosa,ADD_ITEM"
"add veg biryani,ADD_ITEM"
"add one veg biryani,ADD_ITEM"
"add biryani please,ADD_ITEM"
"add food,ADD_ITEM"
"add item,ADD_ITEM"
"add this item,ADD_ITEM"
"add something,ADD_ITEM"
"add another item,ADD_ITEM"
"i want paneer,ADD_ITEM"
"i want butter naan,ADD_ITEM"
"i want to order dosa,ADD_ITEM"
"i want veg biryani,ADD_ITEM"
"i want food,ADD_ITEM"
"i want something to eat,ADD_ITEM"
"i would like paneer tikka,ADD_ITEM"
"i would like to order naan,ADD_ITEM"
"can you add paneer,ADD_ITEM"
"can you add 2 dosa,ADD_ITEM"
"can you add one item,ADD_ITEM"
"please add butter naan,ADD_ITEM"
"please add food,ADD_ITEM"
"order paneer,ADD_ITEM"
"order dosa,ADD_ITEM"
"order 2 dosa,ADD_ITEM"
"order veg biryani now,ADD_ITEM"
"place order for paneer,ADD_ITEM"
"get me dosa,ADD_ITEM"
"get me 2 dosa,ADD_ITEM"
"bring butter naan,ADD_ITEM"
"give me paneer tikka,ADD_ITEM"
"add paner,ADD_ITEM"
"add dosaa,ADD_ITEM"
"add piza,ADD_ITEM"
"add naan plz,ADD_ITEM"
"remove paneer,REMOVE_ITEM"
"remove this item,REMOVE_ITEM"
"remove item,REMOVE_ITEM"
"remove food,REMOVE_ITEM"
"remove dosa,REMOVE_ITEM"
"remove butter naan,REMOVE_ITEM"
"remove one item,REMOVE_ITEM"
"remove last item,REMOVE_ITEM"
"cancel paneer,REMOVE_ITEM"
"cancel order,REMOVE_ITEM"
"cancel this,REMOVE_ITEM"
"cancel that item,REMOVE_ITEM"
"delete item,REMOVE_ITEM"
"delete paneer,REMOVE_ITEM"
"delete dosa,REMOVE_ITEM"
"delete butter naan,REMOVE_ITEM"
"delete from cart,REMOVE_ITEM"
"take out paneer,REMOVE_ITEM"
"take this out,REMOVE_ITEM"
"i want to remove paneer,REMOVE_ITEM"
"please remove dosa,REMOVE_ITEM"
"please delete item,REMOVE_ITEM"
"can you remove this,REMOVE_ITEM"
"can you cancel paneer,REMOVE_ITEM"
"undo last item,REMOVE_ITEM"
"drop this item,REMOVE_ITEM"
"remove paner,REMOVE_ITEM"
"remove dosaa,REMOVE_ITEM"
"show my cart,SHOW_CART"
"show cart,SHOW_CART"
"open cart,SHOW_CART"
"view cart,SHOW_CART"
"check cart,SHOW_CART"
"what is in my cart,SHOW_CART"
"what's in the cart,SHOW_CART"
"list cart items,SHOW_CART"
"display cart,SHOW_CART"
"see my cart,SHOW_CART"
"tell me my cart,SHOW_CART"
"cart please,SHOW_CART"
"show order summary,SHOW_CART"
"show current order,SHOW_CART"
"what have i ordered,SHOW_CART"
"show items,SHOW_CART"
"show food list,SHOW_CART"
"view order,SHOW_CART"
"open order,SHOW_CART"
"cart details,SHOW_CART"
"place the order,CONFIRM_ORDER"
"confirm order,CONFIRM_ORDER"
"confirm my order,CONFIRM_ORDER"
"checkout,CONFIRM_ORDER"
"checkout now,CONFIRM_ORDER"
"place order now,CONFIRM_ORDER"
"yes place it,CONFIRM_ORDER"
"yes confirm it,CONFIRM_ORDER"
"ok place order,CONFIRM_ORDER"
"ok confirm order,CONFIRM_ORDER"
"done,CONFIRM_ORDER"
"proceed,CONFIRM_ORDER"
"proceed to checkout,CONFIRM_ORDER"
"finish order,CONFIRM_ORDER"
"complete order,CONFIRM_ORDER"
"submit order,CONFIRM_ORDER"
"finalize order,CONFIRM_ORDER"
"go ahead and order,CONFIRM_ORDER"
"order confirmed,CONFIRM_ORDER"
"make payment,CONFIRM_ORDER"
"pay now,CONFIRM_ORDER"
"continue,CONFIRM_ORDER"
"suggest something, SUGGEST_FOOD"
"suggest food,SUGGEST_FOOD"
"suggest something spicy,SUGGEST_FOOD"
"suggest spicy food,SUGGEST_FOOD"
"suggest something sweet,SUGGEST_FOOD"
"what do you recommend,SUGGEST_FOOD"
"recommend something,SUGGEST_FOOD"
"best dish here,SUGGEST_FOOD"
"popular dish,SUGGEST_FOOD"
"house special,SUGGEST_FOOD"
"what is good here,SUGGEST_FOOD"
"what should i eat,SUGGEST_FOOD"
"give me suggestion,SUGGEST_FOOD"
"any recommendation,SUGGEST_FOOD"
"suggest veg food,SUGGEST_FOOD"
"suggest non veg,SUGGEST_FOOD"
